N,EQ,BSLSENETFG,BIRLASLAMC - BSLSENETFG,        71.50,        72.87,        72.87,        71.78,        72.06,                    69291.15,959,50,        77.00,        55.25,BSE SENSEX INDEX
N,EQ,COMMOIETF,ICICIPRAMC - ICICICOMMO,        82.86,        82.96,        84.00,        82.96,        83.79,                  2075188.73,24795,278,        85.77,        54.20,NIFTY COMMODITIES INDEX
N,EQ,CONS,KOTAKMAMC - KOTAKCONS,       100.05,       101.00,       102.50,       100.05,       102.17,                   858457.78,8477,55,       107.35,        70.50,NIFTY INDIA CONSUMPTION INDEX
N,EQ,CONSUMBEES,NIP IND ETF CONSUMPTION,       109.89,       110.99,       111.69,       110.00,       111.16,                  6890686.88,62136,784,       127.00,        76.53,NIFTY CONSUMPTION INDEX
N,EQ,CONSUMIETF,ICICIPRAMC - ICICICONSU,       102.25,       103.01,       104.98,       101.78,       103.39,                  1459518.16,14170,209,       108.00,        71.00,NIFTY INDIA CONSUMPTION INDEX
N,EQ,CPSEETF,CPSE ETF,        78.80,        79.60,        80.45,        78.80,        79.91,                201801397.87,2528474,9725,        85.00,        38.34,NIFTY CPSE
N,EQ,DIVOPPBEES,NIP IND ETF DIV OPP,        71.76,        73.90,        73.90,        70.13,        70.70,                 20437370.92,284248,999,        77.50,        47.03,NIFTY DIV OPPS 50
N,EQ,EBBETF0425,EDELAMC - EBBETF0425,      1192.66,      1193.53,      1197.00,      1192.80,      1195.31,                 35966146.21,30105,176,      1229.60,      1104.51,NIFTY BHARAT BOND
N,EQ,EBBETF0430,EDELAMC - EBBETF0430,      1353.15,      1360.00,      1366.00,      1353.05,      1356.43,                 19930420.92,14691,376,      1398.00,      1240.66,NIFTY BHARAT BOND
N,EQ,EBBETF0431,EDELAMC - EBBETF0431,      1212.81,      1212.07,      1216.00,      1211.00,      1213.39,                 13037159.49,10762,78,      1232.65,      1111.71,NIFTY BHARAT BOND
N,EQ,EBBETF0433,EDELAMC - EBBETF0433,      1108.17,      1103.07,      1111.00,      1103.04,      1110.44,                 10216981.03,9228,68,      1262.60,       858.69,NIFTY BHARAT BOND INDEX - APRIL 2033
N,EQ,EGOLD,EDELAMC - EGOLD,        67.80,        68.55,        68.65,        68.25,        68.65,                  2814933.20,41013,21,        74.20,        53.10,GOLD
